act: Down  | ter: False | rew: -1 | pos:  0.374 | vel: -2.947
act: Up    | ter: False | rew: -1 | pos:  0.178 | vel: -0.963
act: Idle  | ter: False | rew: -1 | pos:  0.047 | vel: -1.672
act: Idle  | ter: False | rew: -1 | pos: -0.165 | vel: -2.570
act: Up    | ter: False | rew: -1 | pos: -0.314 | vel: -0.380
act: Up    | ter: False | rew: -1 | pos: -0.238 | vel:  1.926
act: Up    | ter: False | rew: -1 | pos:  0.059 | vel:  4.016
act: Idle  | ter: False | rew: -1 | pos:  0.403 | vel:  2.856
act: Down  | ter: False | rew: 1  | pos:  0.544 | vel: -0.052
act: Up    | ter: False | rew: 1  | pos:  0.622 | vel:  1.626
act: Up    | ter: False | rew: 4  | pos:  0.882 | vel:  3.596
act: Down  | ter: False | rew: 4  | pos:  1.108 | vel:  0.882
act: Up    | ter: False | rew: 1  | pos:  1.273 | vel:  2.435
act: Down  | ter: False | rew: 1  | pos:  1.383 | vel: -0.249
act: Up    | ter: False | rew: 1  | pos:  1.440 | vel:  1.387
act: Up    | ter: False | rew: -1 | pos:  1.673 | vel:  3.294
act: Down  | ter: False | rew: -1 | pos:  1.865 | vel:  0.523
act: Idle  | ter: False | rew: -1 | pos:  1.843 | vel: -0.971
act: Up    | ter: False | rew: -1 | pos:  1.834 | vel:  0.806
act: Up    | ter: False | rew: -1 | pos:  2.010 | vel:  2.743
act: Down  | ter: False | rew: -1 | pos:  2.149 | vel: -0.006
act: Idle  | ter: False | rew: -1 | pos:  2.075 | vel: -1.476
act: Idle  | ter: False | rew: -1 | pos:  1.869 | vel: -2.672
act: Up    | ter: False | rew: -1 | pos:  1.699 | vel: -0.705
act: Up    | ter: False | rew: -1 | pos:  1.733 | vel:  1.408
act: Up    | ter: False | rew: -1 | pos:  1.969 | vel:  3.331
act: Down  | ter: False | rew: -1 | pos:  2.163 | vel:  0.529
act: Down  | ter: False | rew: -1 | pos:  2.066 | vel: -2.499
act: Idle  | ter: False | rew: -1 | pos:  1.754 | vel: -3.752
act: Up    | ter: False | rew: 1  | pos:  1.482 | vel: -1.677
act: Up    | ter: False | rew: 1  | pos:  1.425 | vel:  0.561
act: Down  | ter: False | rew: 1  | pos:  1.360 | vel: -1.892
act: Up    | ter: False | rew: 1  | pos:  1.260 | vel: -0.075
act: Up    | ter: False | rew: 1  | pos:  1.356 | vel:  2.007
act: Down  | ter: False | rew: 1  | pos:  1.428 | vel: -0.592
act: Up    | ter: False | rew: 1  | pos:  1.451 | vel:  1.081
act: Down  | ter: False | rew: 1  | pos:  1.433 | vel: -1.481
act: Up    | ter: False | rew: 1  | pos:  1.372 | vel:  0.279
act: Down  | ter: False | rew: 1  | pos:  1.278 | vel: -2.189
act: Up    | ter: False | rew: 2  | pos:  1.150 | vel: -0.337
act: Up    | ter: False | rew: 2  | pos:  1.222 | vel:  1.784
act: Down  | ter: False | rew: 1  | pos:  1.273 | vel: -0.776
act: Up    | ter: False | rew: 1  | pos:  1.280 | vel:  0.933
act: Down  | ter: False | rew: 2  | pos:  1.248 | vel: -1.594
act: Up    | ter: False | rew: 2  | pos:  1.178 | vel:  0.199
act: Down  | ter: False | rew: 4  | pos:  1.077 | vel: -2.239
act: Up    | ter: False | rew: 4  | pos:  0.946 | vel: -0.359
act: Up    | ter: False | rew: 4  | pos:  1.017 | vel:  1.788
act: Idle  | ter: False | rew: 2  | pos:  1.144 | vel:  0.750
act: Down  | ter: False | rew: 4  | pos:  1.082 | vel: -2.021
act: Up    | ter: False | rew: 4  | pos:  0.970 | vel: -0.195
act: Up    | ter: False | rew: 4  | pos:  1.056 | vel:  1.928
act: Down  | ter: False | rew: 4  | pos:  1.122 | vel: -0.629
act: Up    | ter: False | rew: 2  | pos:  1.144 | vel:  1.082
act: Down  | ter: False | rew: 2  | pos:  1.127 | vel: -1.446
act: Up    | ter: False | rew: 4  | pos:  1.071 | vel:  0.345
act: Down  | ter: False | rew: 4  | pos:  0.985 | vel: -2.096
act: Up    | ter: False | rew: 2  | pos:  0.868 | vel: -0.221
act: Up    | ter: False | rew: 4  | pos:  0.952 | vel:  1.920
act: Down  | ter: False | rew: 4  | pos:  1.018 | vel: -0.625
act: Up    | ter: False | rew: 4  | pos:  1.040 | vel:  1.098
act: Down  | ter: False | rew: 4  | pos:  1.026 | vel: -1.420
act: Up    | ter: False | rew: 4  | pos:  0.973 | vel:  0.380
act: Down  | ter: False | rew: 4  | pos:  0.890 | vel: -2.054
act: Up    | ter: False | rew: 2  | pos:  0.778 | vel: -0.173
act: Up    | ter: False | rew: 2  | pos:  0.867 | vel:  1.973
act: Down  | ter: False | rew: 4  | pos:  0.938 | vel: -0.567
act: Up    | ter: False | rew: 4  | pos:  0.967 | vel:  1.158
act: Down  | ter: False | rew: 4  | pos:  0.958 | vel: -1.358
