act: Idle  | ter: False | rew: 1  | pos:  2.767 | vel: -1.143
act: Up    | ter: False | rew: 2  | pos:  2.738 | vel:  0.567
act: Idle  | ter: False | rew: 2  | pos:  2.738 | vel: -0.571
act: Up    | ter: False | rew: 1  | pos:  2.765 | vel:  1.115
act: Idle  | ter: False | rew: 1  | pos:  2.817 | vel: -0.080
act: Up    | ter: False | rew: 1  | pos:  2.889 | vel:  1.545
act: Idle  | ter: False | rew: 1  | pos:  2.982 | vel:  0.291
act: Idle  | ter: False | rew: 1  | pos:  2.940 | vel: -1.141
act: Up    | ter: False | rew: 1  | pos:  2.910 | vel:  0.549
act: Idle  | ter: False | rew: 1  | pos:  2.907 | vel: -0.606
act: Up    | ter: False | rew: 1  | pos:  2.929 | vel:  1.064
act: Idle  | ter: False | rew: 1  | pos:  2.976 | vel: -0.144
act: Up    | ter: False | rew: -1 | pos:  3.042 | vel:  1.471
act: Idle  | ter: False | rew: -1 | pos:  3.126 | vel:  0.207
act: Idle  | ter: False | rew: -1 | pos:  3.075 | vel: -1.233
act: Up    | ter: False | rew: -1 | pos:  3.036 | vel:  0.452
act: Idle  | ter: False | rew: -1 | pos:  3.023 | vel: -0.707
act: Up    | ter: False | rew: -1 | pos:  3.035 | vel:  0.961
act: Idle  | ter: False | rew: -1 | pos:  3.072 | vel: -0.248
act: Up    | ter: False | rew: -1 | pos:  3.127 | vel:  1.366
act: Idle  | ter: False | rew: -1 | pos:  3.201 | vel:  0.104
act: Idle  | ter: False | rew: -1 | pos:  3.140 | vel: -1.333
act: Up    | ter: False | rew: -1 | pos:  3.090 | vel:  0.355
act: Idle  | ter: False | rew: -1 | pos:  3.069 | vel: -0.800
act: Up    | ter: False | rew: -1 | pos:  3.071 | vel:  0.873
act: Idle  | ter: False | rew: -1 | pos:  3.099 | vel: -0.331
act: Up    | ter: False | rew: -1 | pos:  3.146 | vel:  1.289
act: Idle  | ter: False | rew: -1 | pos:  3.213 | vel:  0.033
act: Idle  | ter: False | rew: -1 | pos:  3.145 | vel: -1.398
act: Up    | ter: False | rew: -1 | pos:  3.090 | vel:  0.296
act: Idle  | ter: False | rew: -1 | pos:  3.062 | vel: -0.853
act: Up    | ter: False | rew: -1 | pos:  3.060 | vel:  0.826
act: Idle  | ter: False | rew: -1 | pos:  3.083 | vel: -0.371
act: Up    | ter: False | rew: -1 | pos:  3.127 | vel:  1.255
act: Idle  | ter: False | rew: -1 | pos:  3.190 | vel:  0.005
act: Idle  | ter: False | rew: -1 | pos:  3.120 | vel: -1.421
act: Up    | ter: False | rew: -1 | pos:  3.062 | vel:  0.279
act: Idle  | ter: False | rew: -1 | pos:  3.034 | vel: -0.865
act: Up    | ter: False | rew: -1 | pos:  3.030 | vel:  0.818
act: Up    | ter: False | rew: -1 | pos:  3.202 | vel:  2.625
act: Down  | ter: False | rew: -1 | pos:  3.322 | vel: -0.245
act: Up    | ter: False | rew: -1 | pos:  3.368 | vel:  1.178
act: Idle  | ter: False | rew: -1 | pos:  3.422 | vel: -0.110
act: Up    | ter: False | rew: -1 | pos:  3.488 | vel:  1.449
act: Idle  | ter: False | rew: -1 | pos:  3.568 | vel:  0.137
act: Idle  | ter: False | rew: -1 | pos:  3.509 | vel: -1.345
act: Up    | ter: False | rew: -1 | pos:  3.456 | vel:  0.303
act: Down  | ter: False | rew: -1 | pos:  3.353 | vel: -2.388
act: Up    | ter: False | rew: -1 | pos:  3.195 | vel: -0.746
act: Up    | ter: False | rew: -1 | pos:  3.216 | vel:  1.189
act: Idle  | ter: False | rew: -1 | pos:  3.275 | vel: -0.034
act: Up    | ter: False | rew: -1 | pos:  3.349 | vel:  1.539
act: Down  | ter: False | rew: -1 | pos:  3.364 | vel: -1.266
act: Up    | ter: False | rew: -1 | pos:  3.313 | vel:  0.256
act: Idle  | ter: False | rew: -1 | pos:  3.280 | vel: -0.928
act: Up    | ter: False | rew: -1 | pos:  3.269 | vel:  0.733
act: Down  | ter: False | rew: -1 | pos:  3.208 | vel: -1.979
act: Up    | ter: False | rew: -1 | pos:  3.091 | vel: -0.364
act: Up    | ter: False | rew: -1 | pos:  3.149 | vel:  1.542
act: Idle  | ter: False | rew: -1 | pos:  3.241 | vel:  0.290
act: Idle  | ter: False | rew: -1 | pos:  3.198 | vel: -1.167
act: Idle  | ter: False | rew: -1 | pos:  3.015 | vel: -2.503
act: Up    | ter: False | rew: 1  | pos:  2.855 | vel: -0.681
act: Idle  | ter: False | rew: 2  | pos:  2.736 | vel: -1.701
act: Idle  | ter: False | rew: 4  | pos:  2.507 | vel: -2.896
act: Up    | ter: False | rew: 2  | pos:  2.313 | vel: -0.972
act: Idle  | ter: False | rew: 1  | pos:  2.170 | vel: -1.899
act: Idle  | ter: False | rew: -1 | pos:  1.925 | vel: -3.009
act: Up    | ter: False | rew: -1 | pos:  1.723 | vel: -1.008
act: Up    | ter: False | rew: -1 | pos:  1.728 | vel:  1.135
act: Up    | ter: False | rew: -1 | pos:  1.938 | vel:  3.088
act: Up    | ter: False | rew: 2  | pos:  2.332 | vel:  4.814
act: Down  | ter: False | rew: 2  | pos:  2.665 | vel:  1.815
act: Down  | ter: False | rew: 2  | pos:  2.688 | vel: -1.405
act: Idle  | ter: False | rew: 4  | pos:  2.476 | vel: -2.843
act: Up    | ter: False | rew: 2  | pos:  2.286 | vel: -0.945
act: Idle  | ter: False | rew: 1  | pos:  2.145 | vel: -1.875
act: Idle  | ter: False | rew: -1 | pos:  1.903 | vel: -2.985
act: Up    | ter: False | rew: -1 | pos:  1.703 | vel: -0.984
act: Up    | ter: False | rew: -1 | pos:  1.711 | vel:  1.158
act: Up    | ter: False | rew: -1 | pos:  1.923 | vel:  3.111
act: Up    | ter: False | rew: 2  | pos:  2.320 | vel:  4.837
act: Down  | ter: False | rew: 2  | pos:  2.655 | vel:  1.837
act: Down  | ter: False | rew: 2  | pos:  2.679 | vel: -1.384
act: Idle  | ter: False | rew: 4  | pos:  2.469 | vel: -2.824
act: Up    | ter: False | rew: 2  | pos:  2.281 | vel: -0.927
act: Idle  | ter: False | rew: 1  | pos:  2.142 | vel: -1.859
act: Idle  | ter: False | rew: -1 | pos:  1.901 | vel: -2.970
act: Up    | ter: False | rew: -1 | pos:  1.703 | vel: -0.970
act: Up    | ter: False | rew: -1 | pos:  1.712 | vel:  1.171
act: Up    | ter: False | rew: -1 | pos:  1.926 | vel:  3.121
act: Up    | ter: False | rew: 2  | pos:  2.323 | vel:  4.846
act: Down  | ter: False | rew: 2  | pos:  2.659 | vel:  1.845
act: Down  | ter: False | rew: 2  | pos:  2.684 | vel: -1.378
