act: Down  | ter: False | rew: -1 | pos:  2.173 | vel:  2.407
act: Down  | ter: False | rew: -1 | pos:  2.254 | vel: -0.820
act: Idle  | ter: False | rew: -1 | pos:  2.100 | vel: -2.271
act: Down  | ter: False | rew: -1 | pos:  1.743 | vel: -4.891
act: Up    | ter: False | rew: 1  | pos:  1.355 | vel: -2.844
act: Up    | ter: False | rew: 2  | pos:  1.188 | vel: -0.485
act: Down  | ter: False | rew: 4  | pos:  1.024 | vel: -2.803
act: Up    | ter: False | rew: 2  | pos:  0.841 | vel: -0.852
act: Up    | ter: False | rew: 2  | pos:  0.865 | vel:  1.359
act: Down  | ter: False | rew: 4  | pos:  0.878 | vel: -1.116
act: Up    | ter: False | rew: 2  | pos:  0.855 | vel:  0.673
act: Down  | ter: False | rew: 2  | pos:  0.801 | vel: -1.778
act: Up    | ter: False | rew: 1  | pos:  0.716 | vel:  0.084
act: Down  | ter: False | rew: 1  | pos:  0.607 | vel: -2.290
act: Up    | ter: False | rew: -1 | pos:  0.474 | vel: -0.351
act: Up    | ter: False | rew: 1  | pos:  0.547 | vel:  1.848
act: Down  | ter: False | rew: 1  | pos:  0.609 | vel: -0.644
act: Up    | ter: False | rew: 1  | pos:  0.632 | vel:  1.126
act: Down  | ter: False | rew: 1  | pos:  0.622 | vel: -1.348
act: Up    | ter: False | rew: 1  | pos:  0.578 | vel:  0.490
act: Down  | ter: False | rew: 1  | pos:  0.508 | vel: -1.912
act: Up    | ter: False | rew: -1 | pos:  0.412 | vel: -0.002
act: Up    | ter: False | rew: 1  | pos:  0.519 | vel:  2.167
act: Idle  | ter: False | rew: 1  | pos:  0.685 | vel:  1.145
act: Down  | ter: False | rew: 1  | pos:  0.663 | vel: -1.616
act: Up    | ter: False | rew: 1  | pos:  0.592 | vel:  0.215
act: Down  | ter: False | rew: -1 | pos:  0.496 | vel: -2.163
act: Up    | ter: False | rew: -1 | pos:  0.375 | vel: -0.226
